TranscriptId	GeneSym
rna-XM_038222444.1	LOC119745822
rna-XR_005271688.1	LOC119733189
rna-XM_038219747.1	LOC119743349
rna-XM_038189766.1	LOC119720189
rna-XM_038217310.1	LOC119741522
rna-XM_038214643.1	LOC119739639
rna-XM_038216244.1	LOC119740808
rna-XR_005273765.1	LOC119746539
rna-XR_005272805.1	LOC119742076
rna-XM_038199376.1	LOC119727489
rna-Trnaa-agc-5	Trnaa-agc
rna-XM_038207824.1	LOC119734356
rna-XM_038199619.1	LOC119727639
rna-XM_038216556.1	LOC119741001
rna-XM_038216838.1	LOC119741140
rna-XM_038197102.1	LOC119725624
rna-XM_038215861.1	LOC119740520
rna-XM_038198092.1	LOC119726440
rna-XM_038215744.1	LOC119740432
rna-XM_038192695.1	LOC119722523
rna-XM_038202760.1	LOC119729969
rna-XM_038216258.1	LOC119740819
rna-XM_038212633.1	LOC119737959
rna-XR_005270290.1	LOC119721700
rna-XM_038205929.1	LOC119732424
rna-XM_038191466.1	LOC119721398
rna-XR_005270459.1	LOC119722616
rna-XM_038210023.1	LOC119736034
rna-XM_038215326.1	LOC119740120
rna-XM_038211696.1	LOC119737377
rna-XM_038221983.1	LOC119745555
rna-XM_038193169.1	LOC119722813
rna-XM_038193329.1	LOC119722921
rna-XM_038214153.1	LOC119739278
rna-XM_038194753.1	LOC119723869
rna-XM_038204043.1	LOC119730970
rna-XM_038208192.1	LOC119734669
rna-XM_038204376.1	LOC119731256
rna-XM_038207502.1	LOC119734158
rna-XM_038219227.1	LOC119742946
rna-XM_038199650.1	LOC119727659
rna-XM_038212821.1	LOC119738085
rna-XM_038206719.1	LOC119733146
rna-XM_038218161.1	LOC119742129
rna-XM_038213602.1	LOC119738683
rna-Trnae-uuc-9	Trnae-uuc
rna-XM_038214594.1	LOC119739615
rna-XM_038221807.1	LOC119745456
rna-XM_038207658.1	LOC119734266
rna-XM_038191388.1	LOC119721349
rna-XM_038199798.1	LOC119727751
rna-XM_038197824.1	LOC119726216
rna-Trnav-gac-3	Trnav-gac
rna-XM_038203322.1	LOC119730433
rna-XM_038195695.1	LOC119724586
rna-XM_038218430.1	LOC119742490
rna-XM_038211471.1	LOC119737269
rna-XM_038215361.1	LOC119740154
rna-XM_038205388.1	LOC119732020
gene-LOC119738664	LOC119738664
rna-XM_038191064.1	LOC119721169
rna-XM_038193488.1	LOC119723015
rna-XM_038206200.1	LOC119732617
rna-XM_038210991.1	LOC119736951
rna-XM_038200867.1	LOC119728576
rna-XM_038199112.1	LOC119727251
rna-XR_005272899.1	LOC119742754
rna-XM_038216202.1	LOC119740781
rna-XR_005273323.1	LOC119743894
rna-XM_038217407.1	LOC119741592
rna-XM_038219529.1	LOC119743138
rna-XM_038208197.1	LOC119734674
rna-XM_038220234.1	LOC119744353
rna-XM_038200808.1	LOC119728532
rna-XM_038189939.1	LOC119720298
rna-Trnaa-ugc-10	Trnaa-ugc
rna-XM_038192222.1	LOC119722176
rna-XM_038215435.1	LOC119740218
rna-XM_038218496.1	LOC119742530
rna-XM_038212605.1	LOC119737930
rna-XM_038189775.1	LOC119720195
rna-XM_038215334.1	LOC119740129
rna-XM_038217379.1	LOC119741572
rna-XM_038210311.1	LOC119736266
rna-XM_038203966.1	LOC119730902
rna-XR_005271712.1	LOC119733218
rna-XM_038212816.1	LOC119738081
rna-XM_038220124.1	LOC119744265
rna-XM_038200815.1	LOC119728535
rna-Trnaa-ggc-10	Trnaa-ggc
rna-XM_038209347.1	LOC119735584
rna-XM_038218107.1	LOC119742085
rna-XM_038221428.1	LOC119745207
rna-XM_038189730.1	LOC119720166
rna-XM_038209761.1	LOC119735824
rna-XM_038220069.1	LOC119743958
rna-XM_038223026.1	LOC119746211
rna-XM_038216968.1	LOC119741228
rna-XM_038220339.1	LOC119744415
rna-XM_038203349.1	LOC119730449
rna-XM_038218640.1	LOC119742561
rna-XM_038222011.1	LOC119745563
rna-XM_038203919.1	LOC119730865
rna-XM_038195468.1	LOC119724419
rna-XM_038220984.1	LOC119744826
rna-XM_038210808.1	LOC119736800
rna-XM_038189012.1	LOC119719521
rna-XM_038217424.1	LOC119741607
rna-XM_038204377.1	LOC119731256
rna-XM_038191857.1	LOC119721911
rna-XM_038203987.1	LOC119730920
rna-XR_005272343.1	LOC119737171
rna-XM_038217707.1	LOC119741808
rna-XM_038206966.1	LOC119733385
rna-XM_038204846.1	LOC119731645
rna-XM_038214764.1	LOC119739729
rna-XM_038213201.1	LOC119738344
rna-XM_038203544.1	LOC119730567
rna-XM_038189327.1	LOC119719831
rna-XR_005270020.1	LOC119719917
rna-XM_038220101.1	LOC119744251
rna-XM_038220592.1	LOC119744588
rna-XM_038212902.1	LOC119738157
rna-XM_038207888.1	LOC119734390
rna-XR_005270520.1	LOC119723172
rna-XM_038214085.1	LOC119739230
rna-XM_038217717.1	LOC119741816
rna-XR_005272753.1	LOC119741603
rna-XM_038211396.1	LOC119737212
rna-XM_038191975.1	LOC119722000
rna-XM_038195128.1	LOC119724191
rna-XM_038217082.1	LOC119741331
rna-XM_038196360.1	LOC119724995
rna-XR_005271005.1	LOC119727752
rna-XM_038209233.1	LOC119735514
rna-XM_038191769.1	LOC119721813
rna-XM_038199247.1	LOC119727378
rna-XM_038188916.1	LOC119719454
rna-XM_038195234.1	LOC119724262
rna-XM_038218276.1	LOC119742351
rna-XM_038219322.1	LOC119743011
rna-XM_038209490.1	LOC119735676
rna-XM_038208033.1	LOC119734501
rna-XM_038208653.1	LOC119734983
rna-XM_038192206.1	LOC119722158
rna-XM_038198209.1	LOC119726494
rna-XM_038199111.1	LOC119727250
rna-XR_005273562.1	LOC119744378
rna-XM_038199009.1	LOC119727144
rna-XM_038215494.1	LOC119740244
rna-XM_038201811.1	LOC119729229
rna-XM_038216647.1	LOC119741043
rna-XM_038203870.1	LOC119730824
