TranscriptId	GeneSym
rna-XM_011665948.2	LOC100888193
rna-XR_004062886.1	LOC105436809
rna-XM_030992310.1	LOC592143
rna-XM_030992332.1	LOC578479
rna-TRNAP-UGG-16	TRNAP-UGG
rna-XM_030977365.1	LOC574607
rna-XM_030981435.1	LOC105445026
rna-TRNAA-AGC-20	TRNAA-AGC
rna-XM_031000189.1	LOC105439697
rna-NM_001281754.1	gpb5
rna-XM_030976438.1	LOC115920546
rna-XM_030989172.1	LOC100889400
rna-XM_030987381.1	LOC105441970
rna-XM_030973354.1	LOC100892957
rna-XM_791393.5	LOC591844
rna-XM_011679707.2	LOC575444
rna-TRNAC-GCA-22	TRNAC-GCA
rna-XM_030977826.1	LOC755075
rna-XR_004066502.1	LOC115929447
rna-XM_780358.5	LOC580288
rna-XM_030985134.1	LOC115923802
rna-XM_775562.5	LOC575144
rna-XM_030974972.1	LOC115918356
rna-XR_004066705.1	LOC115929741
rna-XR_004064129.1	LOC586809
rna-XM_030974494.1	LOC105442437
rna-XM_011670483.2	LOC577111
rna-XM_030981138.1	LOC577808
rna-XM_003723884.3	LOC100893366
rna-XM_779728.4	LOC579623
rna-XM_030974887.1	LOC115920026
rna-XM_003725226.3	LOC100891764
rna-XR_004063469.1	LOC115922539
rna-XM_030986170.1	LOC579409
rna-XR_971843.2	LOC593241
rna-XM_030995294.1	LOC105447490
rna-XM_030977863.1	LOC100893127
gene-LOC115925664	LOC115925664
rna-XM_011674486.2	LOC580270
rna-XM_030978803.1	LOC754728
rna-XM_030991478.1	LOC115918817
rna-XM_003727754.3	LOC100890364
rna-XM_030985179.1	LOC115918618
rna-XM_030998738.1	LOC115918109
rna-XM_031000005.1	LOC762390
rna-XR_004064006.1	LOC115923621
rna-XM_030978552.1	LOC100892750
rna-XM_011677172.2	LOC576368
rna-TRNAR-CCU	TRNAR-CCU
rna-XM_030977968.1	LOC115921022
rna-XM_777139.5	LOC576872
rna-XM_030987236.1	LOC754774
rna-XM_778192.4	LOC577999
rna-XM_003726586.3	LOC100890599
rna-XM_030985253.1	LOC105438148
rna-XM_030986414.1	LOC115924306
rna-NM_214651.1	eve
rna-XM_030979579.1	LOC115921684
rna-XM_030987056.1	LOC583434
rna-XM_030992317.1	LOC584206
rna-XM_030997194.1	LOC115929062
rna-XM_030991207.1	LOC105437143
rna-XM_030987542.1	LOC105441192
rna-XM_030991066.1	LOC105446724
rna-XR_004064333.1	LOC592873
rna-XM_011685576.2	LOC577006
rna-XM_030984494.1	LOC578787
rna-XM_001200652.1	LOC764371
rna-XM_030972640.1	LOC115918295
rna-XM_030992113.1	LOC576476
gene-LOC115922808	LOC115922808
rna-XM_030972067.1	LOC762737
rna-XM_030983928.1	LOC115923426
rna-XM_030974914.1	LOC105440082
rna-XM_030987543.1	LOC115924746
rna-XM_030978338.1	LOC587680
rna-XM_030987898.1	LOC115918126
rna-XM_030998170.1	LOC105446327
rna-XM_030980972.1	LOC763063
rna-XM_795689.4	LOC593799
rna-XM_783693.5	LOC583799
rna-XM_030994132.1	LOC115927854
rna-XM_030980856.1	LOC588827
rna-XM_030984295.1	LOC115923500
rna-XM_003723547.3	LOC100888544
rna-XM_030994373.1	LOC115927963
rna-XM_001200485.4	LOC764239
rna-XM_030977975.1	LOC586294
rna-XM_030978790.1	LOC115921368
rna-XM_030978236.1	LOC115921123
rna-XM_789357.5	LOC589722
rna-XM_030981980.1	LOC105441198
rna-XM_030979959.1	LOC584842
rna-XM_791369.5	LOC591819
rna-XM_030990874.1	LOC100893569
